"SIUQ3G_L"	"STHFJP_L"	"S8APX1_L"	"SACBBR_L"	"SIRUBH_L"	"S5MEZA_L"	"SCNXZK_L"	"SC1YIM_L"	"SBWPUY_L"	"SY34ZS_L"	"SUXEKB_L"	"SG3CB2_L"	"SLWUQ2_L"	"SKYQAL_L"	"SQVR9H_L"
"28bf5ea2c65dfb0b7da5657473333424"	0	986	0	0	0	0	0	0	0	588	0	0	0	0	0
"28c5d8504956065f1d9cc2eaf8fc553e"	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0
"2924171bbd5d3519586f71b3bedb1cb4"	0	2972	2677	0	0	4982	0	0	0	0	0	0	0	0	0
"29322a8bf9c17a923d7acf146bcfa415"	0	3162	0	0	0	0	0	0	0	5610	0	0	0	0	0
"293ede131de3c85fe486d6ac22573a7b"	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0
"2a0e7bd1d81f5be42b4c5db3f3d391df"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"2a8f7fbd7cfdc27c8ab0495c4e8a5635"	0	2724	782	0	0	822	978	0	140	6430	0	0	1816	547	868
"2ac224ae5940c360b34e451363103a8d"	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0
"2b7d4b8e2e9f0703aade6907cb911fda"	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0
"2c0a1c4d2224b5f6fe93521458be5ee8"	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0
"2c1068976ed79f1da7385f24f692d1ad"	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
"2c1f23260afd09f11e911cceed3ddab3"	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0
"2c92a74d7efa28b9c110a11b498c760c"	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0
"2dd000cd486d5f4028c58bf272302653"	0	0	0	0	0	0	0	0	0	0	5248	75343	0	0	0
"2df239c2828e24af1e03f0a670f31304"	0	0	807	0	0	0	0	0	0	0	0	0	0	0	0
"2e0bc7bd51230db2d1a969d8f8fed9ac"	0	745	0	0	0	0	0	0	0	3838	0	0	0	0	0
"2e1e8cf8e2d86013e86d7dbf219941e6"	0	0	0	0	0	0	0	0	0	3051	0	0	0	0	0
"2e50645b337d1ccf78ad4bac86ff7e93"	0	0	0	0	0	260	0	0	0	0	0	0	0	84	0
"2ee495d7738fbf80e3fe9285657127d7"	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
"2f295ade429ff2a0e090a173defce599"	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0
"2f39e5b0803cb8b522898651d296da68"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
"2f90010338a57d382409b6b7653e344d"	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
"2ff9338213b73d2d0413c23dc78d3ce2"	0	0	0	0	0	0	1345	0	0	0	0	0	0	1210	0
"3060ba6ff1f6dcf840282e0ced7982e2"	0	0	0	55	0	0	0	0	0	0	0	0	0	583	0
"30d3ca131faedf7d1d24cb3159e9732b"	0	0	0	0	0	0	0	0	0	0	0	0	0	3743	0
"3148ba881799a4543cd702f3b9164c53"	0	0	0	109	0	0	0	0	0	0	0	0	0	717	0
"31c9b89907e5f31320f975e1bebba818"	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
"31d78d725af02e7d66eb385016509dcb"	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0
"3210001e96797aef10bc69ec22da291e"	12432	27672	59635	31719	186933	64137	93511	50043	4651	39323	0	56339	22723	114529	56693
"325b09aa5be804f88d511cf682f88a9b"	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0
"32a11288de45a813674511e67e5758ba"	0	0	0	0	0	0	0	0	0	3351	0	0	0	0	0
"32b4f47e2bd829a68b3b4a76af78b141"	0	0	0	0	0	6096	0	0	0	0	0	0	0	0	0
"336e7eadd18168c2ec912343bd99c27c"	0	0	0	0	0	0	0	0	0	0	0	0	1382	0	0
"338d8d12c88fe3d2a7bb548d2e7090a5"	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
"33b46f748ece7e786600096d0252e452"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"33daebefd7195aa0a41e3892657e0153"	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"33ef8ee78212ec2909bf327b5debcb3a"	0	0	0	0	0	2732	0	0	0	0	0	0	0	0	0
"33f165d7c6d1d3a87f9c6104055a883e"	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
"34d1ab7ac8baf8a58f17a130663969e7"	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0
"3509b9a8cb1a652065b57985fdaf9565"	0	0	2866	31578	28008	0	0	0	0	0	0	0	2258	0	0
"35b31ce2661606f21404c4c4b883924b"	0	0	0	0	0	0	19973	0	0	0	0	0	0	0	0
"35bb905d78e89fc1804de1eb665d9df5"	0	0	0	0	0	0	0	0	0	0	1698	0	0	0	0
"35dad155ebdbd8fcacaf68e9a95bc7ee"	0	0	705	0	0	0	0	0	0	0	0	0	0	0	0
"36578d6d101c9534aebd56cedb1161cb"	0	0	0	0	0	0	0	0	0	351	0	0	679	0	0
"367321a45abaa084c6115a8c649b15ce"	0	0	0	0	0	0	0	0	107	0	0	0	0	560	0
